"","grp$grp"
"AE01_N04TAF","2"
"AE02_N04TAF","3"
"AE05_N04TAF","4"
"AE06_N04TAF","1"
"AE08_N04TAF","4"
"AE10_N04TAF","1"
"AE12_N04TAF","2"
"AE13_N04TAF","3"
"AE14_N04TAF","4"
"AE15_N04TAF","3"
"AE16_N04TAF","1"
"AE18_N04TAF","3"
"AE19_N04TAF","3"
"AE23_N04TAF","1"
"AE24_N04TAF","2"
"AE25_N04TAF","3"
"AE28_N04TAF","4"
"AE29_N04TAF","4"
"AP01_N04TAF","4"
"AP02_N04TAF","4"
"AP03_N04TAF","2"
"AP05_N04TAF","4"
"AP09_N04TAF","4"
"AP10_N04TAF","4"
"AP11_N04TAF","3"
"AP12_N04TAF","2"
"AP13_N04TAF","3"
"AP14_N04TAF","3"
"AP16_N04TAF","4"
"AP17_N04TAF","4"
"AP20_N04TAF","1"
"AP22_N04TAF","2"
"AP25_N04TAF","1"
"AP26_N04TAF","1"
"AP27_N04TAF","2"
"AP29_N04TAF","2"
"AP30_N04TAF","4"
"CA03_N04TAF","4"
"CA04_N04TAF","4"
"CA06_N04TAF","3"
"CA07_N04TAF","4"
"CA09_N04TAF","3"
"CA10_N04TAF","1"
"CA11_N04TAF","3"
"CA14_N04TAF","4"
"CA16_N04TAF","4"
"CA17_N04TAF","4"
"CA18_N04TAF","1"
"CA19_N04TAF","2"
"CA21_N04TAF","1"
"CA22_N04TAF","1"
"CA25_N04TAF","1"
"CA27_N04TAF","3"
"CA28_N04TAF","2"
"CA29_N04TAF","2"
"CA30_N04TAF","3"
"CC01_N04TAF","1"
"CC02_N04TAF","1"
"CC03_N04TAF","1"
"CC07_N04TAF","1"
"CC09_N04TAF","4"
"CC10_N04TAF","1"
"CC11_N04TAF","3"
"CC13_N04TAF","3"
"CC15_N04TAF","2"
"CC16_N04TAF","2"
"CC17_N04TAF","4"
"CC20_N04TAF","2"
"CC21_N04TAF","4"
"CC23_N04TAF","2"
"CC24_N04TAF","1"
"CC26_N04TAF","3"
"CC27_N04TAF","4"
"CC29_N04TAF","4"
"CC30_N04TAF","2"
