"","grp$grp"
"AE01_N04TAF","2"
"AE02_N04TAF","5"
"AE05_N04TAF","3"
"AE06_N04TAF","4"
"AE08_N04TAF","3"
"AE10_N04TAF","4"
"AE12_N04TAF","2"
"AE13_N04TAF","1"
"AE14_N04TAF","3"
"AE15_N04TAF","5"
"AE16_N04TAF","4"
"AE18_N04TAF","5"
"AE19_N04TAF","5"
"AE22_N04TAF","3"
"AE23_N04TAF","4"
"AE24_N04TAF","2"
"AE25_N04TAF","5"
"AE28_N04TAF","3"
"AE29_N04TAF","3"
"CA03_N04TAF","3"
"CA04_N04TAF","3"
"CA06_N04TAF","1"
"CA07_N04TAF","3"
"CA09_N04TAF","1"
"CA10_N04TAF","4"
"CA11_N04TAF","5"
"CA14_N04TAF","3"
"CA16_N04TAF","3"
"CA17_N04TAF","3"
"CA19_N04TAF","2"
"CA21_N04TAF","4"
"CA22_N04TAF","4"
"CA25_N04TAF","4"
"CA27_N04TAF","1"
"CA28_N04TAF","2"
"CA29_N04TAF","2"
"CA30_N04TAF","1"
"CC01_N04TAF","4"
"CC02_N04TAF","4"
"CC03_N04TAF","4"
"CC07_N04TAF","4"
"CC09_N04TAF","3"
"CC10_N04TAF","4"
"CC11_N04TAF","5"
"CC13_N04TAF","5"
"CC15_N04TAF","2"
"CC16_N04TAF","2"
"CC17_N04TAF","3"
"CC20_N04TAF","2"
"CC21_N04TAF","3"
"CC23_N04TAF","2"
"CC24_N04TAF","4"
"CC26_N04TAF","1"
"CC27_N04TAF","3"
"CC29_N04TAF","3"
"CC30_N04TAF","2"
