ID	Group
AE02_N04TAF	syntomatic
AE05_N04TAF	assyntomatic
AE06_N04TAF	syntomatic
AE08_N04TAF	assyntomatic
AE10_N04TAF	assyntomatic
AE12_N04TAF	assyntomatic
AE13_N04TAF	assyntomatic
AE14_N04TAF	assyntomatic
AE15_N04TAF	assyntomatic
AE16_N04TAF	assyntomatic
AE18_N04TAF	assyntomatic
AE19_N04TAF	assyntomatic
AE22_N04TAF	syntomatic
AE23_N04TAF	assyntomatic
AE24_N04TAF	syntomatic
AE25_N04TAF	assyntomatic
AE28_N04TAF	assyntomatic
AE29_N04TAF	assyntomatic
AP02_N04TAF 	assyntomatic
AP05_N04TAF 	assyntomatic
AP09_N04TAF 	assyntomatic
AP10_N04TAF 	assyntomatic
AP11_N04TAF 	assyntomatic
AP12_N04TAF 	assyntomatic
AP13_N04TAF 	assyntomatic
AP14_N04TAF 	assyntomatic
AP16_N04TAF 	assyntomatic
AP17_N04TAF 	assyntomatic
AP20_N04TAF 	assyntomatic
AP22_N04TAF 	assyntomatic
AP25_N04TAF 	assyntomatic
AP26_N04TAF 	assyntomatic
AP27_N04TAF 	assyntomatic
AP29_N04TAF 	syntomatic
AP30_N04TAF 	assyntomatic
CA03_N04TAF	syntomatic
CA04_N04TAF	syntomatic
CA06_N04TAF	syntomatic
CA07_N04TAF	syntomatic
CA09_N04TAF	syntomatic
CA10_N04TAF	syntomatic
CA11_N04TAF	syntomatic
CA14_N04TAF	assyntomatic
CA16_N04TAF	assyntomatic
CA17_N04TAF	assyntomatic
CA18_N04TAF	syntomatic
CA19_N04TAF	assyntomatic
CA21_N04TAF	assyntomatic
CA22_N04TAF	assyntomatic
CA25_N04TAF	assyntomatic
CA27_N04TAF	assyntomatic
CA28_N04TAF	assyntomatic
CA29_N04TAF	assyntomatic
CA30_N04TAF	syntomatic
CC01_N04TAF	assyntomatic
CC02_N04TAF	assyntomatic
CC03_N04TAF	assyntomatic
CC07_N04TAF	assyntomatic
CC09_N04TAF	assyntomatic
CC10_N04TAF	syntomatic
CC11_N04TAF	syntomatic
CC13_N04TAF	assyntomatic
CC15_N04TAF	syntomatic
CC16_N04TAF	syntomatic
CC17_N04TAF	syntomatic
CC20_N04TAF	syntomatic
CC21_N04TAF	assyntomatic
CC23_N04TAF	assyntomatic
CC24_N04TAF	assyntomatic
CC26_N04TAF	syntomatic
CC27_N04TAF	assyntomatic
CC29_N04TAF	syntomatic
CC30_N04TAF	assyntomatic
